  1,   0.76884,   0.07106,   0.18515,   0.14001,   0.43185,   0.95960,   0.24583,   2.44296,   0.38424,   1.30367,   0.50917,   0.72824,   0.48383,   0.68450,   0.93927,   0.23795,   0.21835,   0.23614,   0.20968,   0.24161,   0.36711,   0.27797,   0.47891,   0.33994,   0.45222,   0.45013,   0.78230,   0.55819,   0.40889,   0.49820,   0.21695,   0.24515,   0.17522,
  2,   0.49886,   0.29587,   0.37633,   0.75210,   0.52413,   0.71570,   0.65939,   1.03880,   0.57903,   0.77327,   0.99776,   0.73273,   0.74062,   1.06830,   0.70452,   0.69521,   0.55824,   0.68530,   0.78934,   1.01161,   1.12786,   1.06548,   0.88632,   0.92935,   0.93368,   1.34379,   1.12527,   0.72787,   0.73462,   0.68124,   0.66573,   0.53397,   0.44509,
  3,   0.60140,   0.82827,   0.65990,   0.78090,   0.72843,   0.81851,   0.89518,   0.93524,   0.82398,   0.99038,   0.97737,   1.18420,   0.72456,   0.86109,   1.07310,   1.04635,   0.73236,   0.74781,   1.06794,   1.23232,   1.23311,   1.15049,   0.88142,   1.07274,   0.98682,   1.45557,   1.04980,   1.14196,   0.71949,   0.97510,   1.28517,   1.07602,   1.39449,
  4,   0.74842,   1.14516,   0.89005,   0.72388,   0.76296,   0.84581,   0.96279,   1.37518,   0.94694,   1.15352,   0.87574,   1.05920,   1.09119,   0.82768,   1.08870,   0.77125,   0.92324,   0.77191,   0.97885,   1.03028,   1.03652,   1.14432,   0.98843,   1.31209,   1.01825,   1.16073,   0.84130,   1.18574,   1.53270,   0.81242,   1.30659,   1.03826,   0.82867,
  5,   0.69128,   1.09849,   1.30908,   0.51486,   0.74938,   0.79782,   1.02737,   0.96329,   1.00709,   1.02183,   0.96112,   1.17373,   0.80573,   1.18294,   0.86149,   0.94770,   0.93338,   0.62654,   0.91367,   1.01997,   0.79806,   1.04086,   1.12522,   1.07642,   1.31241,   0.78236,   1.49870,   1.29298,   1.04510,   0.88851,   0.72971,   0.55562,   0.46318,
  6,   0.63499,   0.84195,   0.80884,   0.69294,   0.69123,   0.79446,   0.88618,   1.07813,   0.83926,   0.98475,   0.95300,   1.03746,   0.84052,   0.98500,   0.93195,   0.86513,   0.78681,   0.70789,   0.93745,   1.07355,   1.04889,   1.10029,   0.97035,   1.09765,   1.06279,   1.18561,   1.12877,   1.08714,   1.00798,   0.83932,   0.99680,   0.80097,   0.78285,
  7,   0.63499,   0.84195,   0.80884,   0.69294,   0.69123,   0.79446,   0.88618,   1.07813,   0.83926,   0.98475,   0.95300,   1.03746,   0.84052,   0.98500,   0.93195,   0.86513,   0.78681,   0.70789,   0.93745,   1.07355,   1.04889,   1.10029,   0.97035,   1.09765,   1.06279,   1.18561,   1.12877,   1.08714,   1.00798,   0.83932,   0.99680,   0.80097,   0.78285,
  1,   0.76884,   0.07106,   0.18515,   0.14001,   0.43185,   0.95960,   0.24583,   2.44296,   0.38424,   1.30368,   0.50922,   0.72835,   0.48397,   0.68511,   0.94139,   0.23987,   0.22203,   0.24196,   0.18820,   0.22196,   0.36071,   0.29370,   0.49658,   0.35474,   0.47789,   0.47404,   0.75358,   0.59042,   0.46354,   0.49122,   0.18753,   0.25473,   0.19890,
  2,   0.49886,   0.29587,   0.37633,   0.75210,   0.52413,   0.71570,   0.65939,   1.03880,   0.57903,   0.77329,   0.99779,   0.73287,   0.74084,   1.06899,   0.70577,   0.69869,   0.56500,   0.70373,   0.72981,   0.95291,   1.11276,   1.10542,   0.91213,   0.96128,   0.97401,   1.39184,   1.07509,   0.76343,   0.81894,   0.68591,   0.59427,   0.51418,   0.51658,
  3,   0.60140,   0.82827,   0.65990,   0.78090,   0.72843,   0.81851,   0.89518,   0.93524,   0.82399,   0.99040,   0.97741,   1.18428,   0.72485,   0.86165,   1.07509,   1.05083,   0.73984,   0.76542,   0.99155,   1.16649,   1.21691,   1.19232,   0.90328,   1.10848,   1.03438,   1.50045,   1.00501,   1.16444,   0.79406,   0.98608,   1.15795,   1.03637,   1.47031,
