2011 COD AREA 6A WITH discards                                                    
1 6
1978 2010
1  7
1
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
 0.00 0.52 0.86 1.00 1.00 1.00 1.00
