2011 COD AREA 6A WITH discards                                                    
1 5
1978 2010
1  7
1
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
 0.20 0.20 0.20 0.20 0.20 0.20 0.20
